Order,State,"12 or Older
Estimate","12 or Older
95% CI (Lower)","12 or Older
95% CI (Upper)","12-17
Estimate","12-17
95% CI (Lower)","12-17
95% CI (Upper)","18-25
Estimate","18-25
95% CI (Lower)","18-25
95% CI (Upper)","26 or Older
Estimate","26 or Older
95% CI (Lower)","26 or Older
95% CI (Upper)","18 or Older
Estimate","18 or Older
95% CI (Lower)","18 or Older
95% CI (Upper)",Drug
1,Total U.S.,"39,252","38,445","40,073","3,038","2,933","3,147","11,678","11,423","11,937","24,535","23,832","25,258","36,214","35,417","37,027",Marijuana 
2,Northeast,"7,239","6,956","7,533",501,468,536,"2,285","2,197","2,373","4,453","4,185","4,736","6,737","6,459","7,027",Marijuana 
3,Midwest,"7,896","7,603","8,195",677,640,716,"2,469","2,386","2,554","4,749","4,476","5,037","7,219","6,931","7,514",Marijuana 
4,South,"12,478","12,041","12,929","1,051",993,"1,112","3,877","3,750","4,005","7,550","7,128","7,995","11,427","10,999","11,870",Marijuana 
5,West,"11,639","11,216","12,074",809,756,864,"3,047","2,931","3,167","7,783","7,385","8,197","10,830","10,414","11,259",Marijuana 
6,Alabama,429,373,493,36,30,44,136,119,155,257,210,313,393,338,455,Marijuana 
7,Alaska,133,120,147,10,8,11,30,27,33,93,82,106,123,111,137,Marijuana 
8,Arizona,802,697,920,61,50,74,222,193,254,518,430,622,741,639,856,Marijuana 
9,Arkansas,312,274,354,26,21,31,86,75,97,201,168,238,286,250,327,Marijuana 
10,California,"5,713","5,405","6,033",404,362,449,"1,579","1,486","1,675","3,730","3,451","4,029","5,309","5,007","5,625",Marijuana 
11,Colorado,"1,155","1,051","1,266",72,61,86,289,264,314,794,701,896,"1,083",981,"1,192",Marijuana 
12,Connecticut,497,443,555,41,34,49,176,159,193,280,235,332,456,404,513,Marijuana 
13,Delaware,119,106,135,9,8,11,36,32,40,75,63,88,110,97,125,Marijuana 
14,District of Columbia,154,141,169,5,4,5,48,44,52,102,90,115,150,136,164,Marijuana 
15,Florida,"2,425","2,249","2,616",191,170,214,701,656,748,"1,534","1,372","1,712","2,235","2,061","2,423",Marijuana 
16,Georgia,993,888,"1,108",90,75,107,331,297,366,572,486,672,903,802,"1,015",Marijuana 
17,Hawaii,152,132,175,11,9,13,35,30,40,106,88,128,141,121,164,Marijuana 
18,Idaho,175,154,199,18,15,22,50,44,57,107,89,128,157,137,180,Marijuana 
19,Illinois,"1,482","1,360","1,612",134,118,153,477,440,515,870,766,988,"1,348","1,230","1,474",Marijuana 
20,Indiana,796,707,894,72,60,86,251,224,281,473,401,558,725,639,819,Marijuana 
21,Iowa,298,260,339,25,20,31,111,98,125,162,132,198,273,237,313,Marijuana 
22,Kansas,283,247,324,28,23,34,94,82,106,162,132,197,255,221,295,Marijuana 
23,Kentucky,475,416,540,41,34,49,135,118,153,300,250,358,434,378,498,Marijuana 
24,Louisiana,469,411,534,36,30,44,142,124,162,290,242,347,433,376,496,Marijuana 
25,Maine,253,228,281,14,12,17,57,52,62,182,159,209,239,214,267,Marijuana 
26,Maryland,781,698,872,62,52,75,240,216,266,478,407,560,718,638,807,Marijuana 
27,Massachusetts,"1,173","1,055","1,300",79,67,94,356,322,391,737,636,851,"1,093",979,"1,217",Marijuana 
28,Michigan,"1,406","1,308","1,510",109,96,123,418,389,449,879,791,975,"1,297","1,202","1,399",Marijuana 
29,Minnesota,635,561,716,56,47,66,188,167,211,391,328,464,579,508,658,Marijuana 
30,Mississippi,279,243,320,26,21,32,87,76,100,166,136,201,253,219,292,Marijuana 
31,Missouri,699,618,788,55,46,67,206,181,232,438,371,515,643,565,730,Marijuana 
32,Montana,171,154,191,12,10,14,45,40,49,115,99,132,160,143,178,Marijuana 
33,Nebraska,180,158,205,19,15,22,65,57,74,96,79,117,162,141,185,Marijuana 
34,Nevada,416,367,471,33,27,39,102,91,114,282,238,332,384,336,437,Marijuana 
35,New Hampshire,216,194,239,15,12,17,61,55,68,139,120,161,201,180,224,Marijuana 
36,New Jersey,912,817,"1,018",71,59,86,315,282,349,526,447,619,841,749,944,Marijuana 
37,New Mexico,302,269,339,26,22,31,74,65,84,202,172,235,276,244,312,Marijuana 
38,New York,"2,436","2,270","2,613",167,147,188,778,725,834,"1,491","1,345","1,652","2,270","2,107","2,443",Marijuana 
39,North Carolina,"1,024",920,"1,138",83,70,97,311,280,344,630,540,733,941,840,"1,052",Marijuana 
40,North Dakota,68,59,78,5,4,7,24,21,28,38,31,46,62,54,72,Marijuana 
41,Ohio,"1,343","1,235","1,459",110,96,125,419,388,451,814,720,919,"1,233","1,129","1,346",Marijuana 
42,Oklahoma,388,338,443,36,29,43,124,108,140,228,188,276,352,304,405,Marijuana 
43,Oregon,928,847,"1,015",50,42,59,199,181,216,680,606,760,879,799,963,Marijuana 
44,Pennsylvania,"1,433","1,318","1,558",96,82,111,448,414,484,890,785,"1,006","1,338","1,225","1,460",Marijuana 
45,Rhode Island,189,170,209,11,9,13,56,50,61,122,106,140,177,159,197,Marijuana 
46,South Carolina,462,404,528,39,32,47,144,127,163,279,230,337,423,366,487,Marijuana 
47,South Dakota,87,76,99,8,7,10,27,24,30,52,43,62,78,68,90,Marijuana 
48,Tennessee,748,656,850,60,50,71,223,197,251,465,388,555,688,600,787,Marijuana 
49,Texas,"2,396","2,210","2,594",234,203,268,808,745,876,"1,354","1,196","1,531","2,163","1,984","2,354",Marijuana 
50,Utah,253,219,291,28,22,34,93,80,108,133,108,162,226,194,261,Marijuana 
51,Vermont,129,117,143,8,6,9,37,34,41,85,73,97,122,110,135,Marijuana 
52,Virginia,824,740,915,65,55,77,272,247,299,486,415,569,759,677,848,Marijuana 
